PaperId,AuthorId,AffiliationId,AuthorSequenceNumber,OriginalAuthor,OriginalAffiliation
2807721218,2753181413,,1,Alexander Johannes Martinus Dingemans,"Department of Clinical Genetics, Radboudumc, Nijmegen, The Netherlands"
2807721218,2753398937,1314135232.0,6,Erin Hoover,"Center for Colorectal and Pelvic Reconstruction, Nationwide Children's Hospital, Columbus, Ohio, United States."
2807721218,2786273090,1314135232.0,7,Tassiana Maloof,"Center for Colorectal and Pelvic Reconstruction, Nationwide Children's Hospital, Columbus, Ohio, United States."
2807721218,2920395064,1314135232.0,10,Richard J. Wood,"Center for Colorectal and Pelvic Reconstruction, Nationwide Children's Hospital, Columbus, Ohio, United States."
2807979056,53424644,111088046.0,2,Ivan Fernandez-Val,"Department of Economics, Boston University, 270 Bay State Road, Boston, MA 02215-1403, USA"
2807979056,2629579330,39555362.0,1,Mingli Chen,"Department of Economics, University of Warwick, Gibbet Hill Road, Coventry CV4 7AL, UK"
2807979056,2700806428,45129253.0,3,Martin Weidner,"Department of Economics, University College London, Gower Street, London WC1E 6BT, UK"
2809278917,2060476422,98358874.0,2,Rolf Hut,"Delft University of Technology,#N#Delft, The Netherlands"
2809278917,2120279395,121797337.0,5,Ionica Smeets,"Science Communication and Society, Leiden University, Leiden, The Netherlands."
2809278917,2639401555,169381384.0,3,Casper Albers,"Heymans Institute for Psychological Research, University of#N#Groningen,  Groningen, the Netherlands"
2809278917,2808914554,121797337.0,1,Gemma J. Venhuizen,"Science Communication and Society, Leiden University, Leiden, The Netherlands."
2809278917,3051030468,913481162.0,4,Cathelijne R. Stoof,Soil Geography and Landscape group; Wageningen University; P.O. Box 47 6700 AA Wageningen The Netherlands
2809492257,2051016869,43406934.0,1,Stephanie Coulombe,"Centre for Northern Studies, Université Laval, Quebec City, G1V 0A6, Canada"
2809492257,2051016869,70931966.0,1,Stephanie Coulombe,"Department of Geography, Université de Montréal,  Montréal, H2V 2B8, Canada"
2809492257,2075980394,141472210.0,4,Mikhail Kanevskiy,"Institute of Northern Engineering, University of Alaska Fairbanks, Fairbanks, 99775-5910, USA"
2809492257,2167609929,43406934.0,2,Daniel Fortier,"Centre for Northern Studies, Université Laval, Quebec City, G1V 0A6, Canada"
2809492257,2167609929,70931966.0,2,Daniel Fortier,"Department of Geography, Université de Montréal, Montréal, H2V 2B8, Canada"
2809492257,2167609929,141472210.0,2,Daniel Fortier,"Institute of Northern Engineering, University of Alaska Fairbanks, Fairbanks, 99775-5910, USA"
2809492257,2227754144,153718931.0,3,Denis Lacelle,"Department of Geography, Environment and Geomatics, University of Ottawa, Ottawa, K1N 6N5, Canada"
2809492257,2779347750,141472210.0,5,Yuri Shur,"Institute of Northern Engineering, University of Alaska Fairbanks, Fairbanks, 99775-5910, USA"
2810599910,1870170411,592451.0,2,Hannah Maxey,Department of Family Medicine Indiana University School of Medicine Indianapolis IN USA
2810599910,1969602320,592451.0,1,Steven Moberly,"Department of Psychiatry, Indiana University School of Medicine Indianapolis, IN USA "
2810599910,2136822538,592451.0,6,David Diaz,"Department of Psychiatry, Indiana University School of Medicine , Indianapolis, USA"
2810599910,2809904970,592451.0,5,Yumin Wang,"Department of Biostatistics, Indiana University Richard M. Fairbanks School of Public Health, Indianapolis, USA"
2810599910,2810330716,,4,Sierra X. Vaughn,"Bowen Center for Health Workforce Research and Policy, Indianapolis, USA"
2810599910,2810443123,,3,Lacy Foy,"Bowen Center for Health Workforce Research and Policy, 1110 W. Michigan Street, LO 200, Indianapolis, IN, 46202, USA."
2811031023,74898299,143288331.0,3,Timo Kötzing,"Hasso-Plattner-Institut, Potsdam, Germany#TAB#"
2811031023,2038910195,142476485.0,1,Benjamin Doerr,"École Polytechnique, CNRS, LIX - UMR 7161, Palaiseau, France"
2811031023,2952848820,204730241.0,2,Carola Doerr,"Sorbonne Université CNRS, LIP6,Paris,France"
2812039334,173997496,129902397.0,2,Peter Vanberkel,"Faculty of Engineering, Department of Industrial Engineering, Dalhousie University, Halifax, Canada"
2812039334,2304486398,107672454.0,3,Alix J. E. Carter,"Emergency Health Services, Dartmouth, Canada"
2812039334,2304486398,129902397.0,3,Alix J. E. Carter,"Department of Emergency Medicine, Division of EMS, Dalhousie University, Halifax, Canada"
2812039334,2304486398,2802394193.0,3,Alix J. E. Carter,"Nova Scotia Health Authority, Sydney, Canada"
2812039334,2838215789,129902397.0,1,Mengyu Li,"Faculty of Engineering, Department of Industrial Engineering, Dalhousie University, Halifax, Canada"
2885273391,2887122018,181401687.0,1,Nora Khatcherian,"School of International Service, American University, Washington, DC, USA."
2885503817,2162147268,102322142.0,2,Adam W. Potter,"Rutgers University, School of Biomedical and Health Sciences, Newark, NJ, 07102, USA"
2885503817,2162147268,121067369.0,2,Adam W. Potter,"Biophysics and Biomedical Modeling Division, United States Army Research Institute of Environmental Medicine, Natick, MA, 01760, USA"
2885503817,2202778244,121067369.0,4,William R. Santee,"Oak Ridge Institute for Science and Education (ORISE), 1299 Bethel Valley Rd, Oak Ridge, TN, 37830, USA; Biophysics and Biomedical Modeling Division, United States Army Research Institute of Environmental Medicine, Natick, MA, 01760, USA."
2885503817,2684499177,7969619.0,1,Paul W. Richmond,"U.S. Army Cold Regions Research Engineering Laboratory, Hanover, NH, 03755, USA; Oak Ridge Institute for Science and Education (ORISE), 1299 Bethel Valley Rd, Oak Ridge, TN, 37830, USA."
2885503817,2996795832,121067369.0,3,David P. Looney,"Biophysics and Biomedical Modeling Division, United States Army Research Institute of Environmental Medicine, Natick, MA, 01760, USA."
2886356182,726144794,,9,M. Giroud,"Service de Neurologie, CHU de Dijon-Bourgogne, 14, rue Paul-Gaffarel, 21079 Dijon cedex, France"
2886356182,2067988893,,8,M. Hervieu-Bègue,"Service de Neurologie, CHU de Dijon-Bourgogne, 14, rue Paul-Gaffarel, 21079 Dijon cedex, France."
2886356182,2238440639,,10,Y. Béjot,"Service de Neurologie, CHU de Dijon-Bourgogne, 14, rue Paul-Gaffarel, 21079 Dijon cedex, France."
2886356182,2280944051,,1,B. Delpont,"Service de Neurologie, CHU de Dijon-Bourgogne, 14, rue Paul-Gaffarel, 21079 Dijon cedex, France; Centre de Lutte contre la Douleur, CHU de Dijon-Bourgogne, 14, rue Paul-Gaffarel, 21079 Dijon cedex, France."
2886356182,2637183478,,7,G.-V. Osseby,"Service de Neurologie, CHU de Dijon-Bourgogne, 14, rue Paul-Gaffarel, 21079 Dijon cedex, France; Centre de Lutte contre la Douleur, CHU de Dijon-Bourgogne, 14, rue Paul-Gaffarel, 21079 Dijon cedex, France."
2886356182,2643650215,,2,K. Beauvais,"Centre SLA, CHU de Dijon-Bourgogne, 14, rue Paul-Gaffarel, 21079 Dijon cedex, France."
2886356182,2661859974,,3,A. Jacquin-Piques,"Centre SLA, CHU de Dijon-Bourgogne, 14, rue Paul-Gaffarel, 21079 Dijon cedex, France."
2886356182,2768820655,,6,C. Blanc-Labarre,"Service de Neurologie, CHU de Dijon-Bourgogne, 14, rue Paul-Gaffarel, 21079 Dijon cedex, France."
2886356182,2885480705,,5,P. Rault,"Centre de Lutte contre la Douleur, CHU de Dijon-Bourgogne, 14, rue Paul-Gaffarel, 21079 Dijon cedex, France."
2886356182,2925481232,,4,V. Alavoine,"Unité de Soins Palliatifs, CHU de Dijon-Bourgogne, 14, rue Paul-Gaffarel, 21079 Dijon cedex, France."
2887220719,75314897,97018004.0,6,Stephen R Quake,Stanford University
2887220719,579361297,63966007.0,4,Paul C Blainey,Massachusetts Institute of Technology
2887220719,579361297,107606265.0,4,Paul C Blainey,Broad Institute of Harvard and MIT
2887220719,1913355705,97018004.0,1,Bojk A Berghuis,"Department of Bioengineering, Stanford University, Stanford, CA 94305"
2887220719,2132379445,196679689.0,3,Frederik Schulz,"Department of Energy Joint Genome Institute, Walnut Creek, CA 94598;"
